        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
 K892_1_p1_b        3.14        3.14    -3.11962 pm    0.0159898    0.023569 rad        1.474
 K892_1_m1_a       0.196       0.196    0.199357 pm    0.0066012     1.71276 %       0.508546
 K892_1_m1_b        -1.7        -1.7    -1.55517 pm    0.0346573    0.144826 rad      4.17881
  K800_0_0_a        1.12        1.12     1.18704 pm    0.0177459     5.98545 %         3.7776
  K800_0_0_b         2.3         2.3     1.80971 pm    0.0194922    0.490292 rad      25.1532
 K1410_1_0_a       0.119       0.119    0.131326 pm   0.00867657     10.3578 %        1.42059
 K1410_1_0_b        0.81        0.81     1.24197 pm    0.0911425    0.431971 rad      4.73951
K1410_1_p1_a       0.123       0.123   0.0953508 pm    0.0146008      22.479 %        1.89368
K1410_1_p1_b       -1.04       -1.04    -1.26987 pm     0.153516    0.229868 rad      1.49735
K1410_1_m1_a       0.036       0.036   0.0270867 pm    0.0157949     24.7592 %       0.564314
K1410_1_m1_b        0.67        0.67    0.438193 pm     0.543451    0.231807 rad     0.426545
 K1430_0_0_a        0.89        0.89     1.18147 pm    0.0170189     32.7492 %        17.1261
 K1430_0_0_b       -2.17       -2.17    -2.10979 pm    0.0208303    0.060211 rad      2.89054
 K1430_2_0_a        4.66        4.66     4.49424 pm    0.0720627     3.55714 %        2.30026
 K1430_2_0_b       -0.32       -0.32   -0.279904 pm    0.0222543    0.040096 rad      1.80172
K1430_2_p1_a        4.65        4.65     4.51899 pm    0.0757759     2.81746 %        1.72894
K1430_2_p1_b       -3.05       -3.05    -3.05494 pm      0.03421  0.00493921 rad     0.144379
K1430_2_m1_a        1.26        1.26     1.09073 pm     0.107666     13.4344 %        1.57221
K1430_2_m1_b       -1.92       -1.92     -1.9551 pm    0.0944801    0.035104 rad     0.371549
 K1780_3_0_a        16.8        16.8     24.5763 pm      1.83207     46.2877 %        4.24457
 K1780_3_0_b       -1.43       -1.43    -1.27924 pm    0.0843316    0.150757 rad      1.78767
K1780_3_p1_a        19.1        19.1     21.3361 pm      2.05953     11.7071 %        1.08571
K1780_3_p1_b        2.03        2.03     1.93947 pm     0.118373   0.0905264 rad     0.764759
K1780_3_m1_a        10.2        10.2     12.5658 pm      2.48167     23.1941 %       0.953309
K1780_3_m1_b        1.55        1.55      1.7115 pm     0.229962    0.161499 rad     0.702284
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844       0.844       0.844 pm    0.0338258 1.01722e-10 %    2.53811e-11
 K892_1_p1_b        3.14        3.14        3.14 pm      0.16887 5.82201e-13 rad  3.44763e-12
 K892_1_m1_a       0.196       0.196       0.196 pm    0.0340559 9.72606e-10 %    5.59758e-11
 K892_1_m1_b        -1.7        -1.7        -1.7 pm     0.328769  7.2764e-13 rad  2.21323e-12
  K800_0_0_a        1.12        1.12        1.12 pm    0.0288864 7.14508e-11 %    2.77033e-11
  K800_0_0_b         2.3         2.3         2.3 pm     0.211789 7.27418e-13 rad  3.43463e-12
 K1410_1_0_a       0.119       0.119       0.119 pm     0.108153 2.02994e-09 %    2.23353e-11
 K1410_1_0_b        0.81        0.81        0.81 pm      19.2546  5.0937e-13 rad  2.64545e-14
K1410_1_p1_a       0.123       0.123       0.123 pm    0.0212311 3.31262e-10 %    1.91913e-11
K1410_1_p1_b       -1.04       -1.04       -1.04 pm      2.31582 8.73079e-13 rad  3.77007e-13
K1410_1_m1_a       0.036       0.036       0.036 pm    0.0249352 5.21444e-09 %    7.52831e-11
K1410_1_m1_b        0.67        0.67        0.67 pm       5.6217 7.27196e-14 rad  1.29355e-14
 K1430_0_0_a        0.89        0.89        0.89 pm     0.023754 6.54034e-11 %    2.45049e-11
 K1430_0_0_b       -2.17       -2.17       -2.17 pm     0.172526 7.28306e-14 rad  4.22142e-13
 K1430_2_0_a        4.66        4.66        4.66 pm    0.0612848 3.12578e-12 %    2.37679e-12
 K1430_2_0_b       -0.32       -0.32       -0.32 pm     0.154124 2.91045e-13 rad  1.88838e-12
K1430_2_p1_a        4.65        4.65        4.65 pm    0.0411763 7.83125e-12 %    8.84376e-12
K1430_2_p1_b       -3.05       -3.05       -3.05 pm     0.521261 7.27418e-13 rad   1.3955e-12
K1430_2_m1_a        1.26        1.26        1.26 pm    0.0522751  1.7323e-11 %    4.17541e-12
K1430_2_m1_b       -1.92       -1.92       -1.92 pm      1.06918 7.28306e-14 rad  6.81179e-14
 K1780_3_0_a        16.8        16.8        16.8 pm     0.739207 6.49216e-12 %    1.47548e-12
 K1780_3_0_b       -1.43       -1.43       -1.43 pm      1.89384   2.911e-13 rad  1.53709e-13
K1780_3_p1_a        19.1        19.1        19.1 pm     0.896546 1.89726e-12 %    4.04192e-13
K1780_3_p1_b        2.03        2.03        2.03 pm      1.29401 6.55032e-13 rad  5.06201e-13
K1780_3_m1_a        10.2        10.2        10.2 pm     0.947665 2.49735e-11 %    2.68797e-12
K1780_3_m1_b        1.55        1.55        1.55 pm     0.510142  7.2764e-13 rad  1.42635e-12
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844    0.932029    0.800988 pm   0.00492123      5.0962 %        8.74007
 K892_1_p1_b        3.14      1.7703    -3.11579 pm    0.0167271   0.0273918 rad      1.63757
 K892_1_m1_a       0.196    0.284802    0.192735 pm   0.00705039     1.66579 %       0.463088
 K892_1_m1_b        -1.7     -2.5514    -1.54908 pm    0.0352869    0.150919 rad      4.27691
  K800_0_0_a        1.12    0.886223     1.13882 pm    0.0165287     1.68056 %        1.13877
  K800_0_0_b         2.3     1.29585      1.8124 pm    0.0210417    0.487599 rad       23.173
 K1410_1_0_a       0.119    0.133186    0.124415 pm   0.00746327     4.55053 %        0.72557
 K1410_1_0_b        0.81    0.352678     1.31757 pm    0.0952204    0.507569 rad      5.33047
K1410_1_p1_a       0.123   0.0999278   0.0883051 pm    0.0130551     28.2073 %        2.65758
K1410_1_p1_b       -1.04   -0.682416    -1.23717 pm     0.150251    0.197167 rad      1.31225
K1410_1_m1_a       0.036   0.0320099  -0.0218286 pm    0.0149421     160.635 %        3.87018
K1410_1_m1_b        0.67     1.27484     -2.6354 pm     0.685208     2.97779 rad      4.34582
 K1430_0_0_a        0.89      1.0975     1.10491 pm    0.0169577     24.1468 %        12.6731
 K1430_0_0_b       -2.17     -3.6363    -2.10295 pm    0.0225826   0.0670476 rad      2.96899
 K1430_2_0_a        4.66     2.53411     4.30519 pm    0.0745675     7.61398 %        4.75826
 K1430_2_0_b       -0.32    0.666234     -0.2809 pm    0.0235702   0.0391003 rad      1.65889
K1430_2_p1_a        4.65     4.51909     4.27572 pm    0.0722769     8.04904 %        5.17842
K1430_2_p1_b       -3.05    -4.04157    -3.04522 pm    0.0358475   0.0047773 rad     0.133268
K1430_2_m1_a        1.26     1.10913     1.02349 pm     0.106275     18.7709 %        2.22549
K1430_2_m1_b       -1.92     -2.4897     -1.9188 pm     0.093426  0.00120059 rad    0.0128507
 K1780_3_0_a        16.8     13.8639     21.0784 pm      1.93241     25.4667 %        2.21402
 K1780_3_0_b       -1.43    -2.35228    -1.32116 pm    0.0954748    0.108839 rad      1.13997
K1780_3_p1_a        19.1     10.5562    -20.5505 pm      2.09246     207.594 %        18.9492
K1780_3_p1_b        2.03     2.13912    -1.16005 pm     0.122144     3.09313 rad      25.3236
K1780_3_m1_a        10.2     14.5768     12.0083 pm      2.42864     17.7282 %       0.744563
K1780_3_m1_b        1.55     2.88096     1.73019 pm     0.230826    0.180193 rad     0.780642
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844    0.702362    0.800992 pm   0.00475922     5.09577 %        9.03683
 K892_1_p1_b        3.14     2.43092    -3.11582 pm    0.0165969     0.02737 rad      1.64911
 K892_1_m1_a       0.196     0.18702    0.192725 pm   0.00709122     1.67082 %       0.461812
 K892_1_m1_b        -1.7   -0.987806    -1.54907 pm     0.034522    0.150925 rad      4.37186
  K800_0_0_a        1.12      1.1734      1.1388 pm    0.0176133     1.67815 %        1.06711
  K800_0_0_b         2.3     2.95439     1.81239 pm    0.0203251    0.487613 rad      23.9906
 K1410_1_0_a       0.119    0.147788   -0.124415 pm   0.00794293      204.55 %        30.6455
 K1410_1_0_b        0.81     0.64243    -1.82414 pm    0.0952138     2.63414 rad      27.6655
K1410_1_p1_a       0.123    0.169875   0.0883058 pm    0.0135895     28.2066 %        2.55301
K1410_1_p1_b       -1.04    -1.72322    -1.23707 pm     0.150113    0.197073 rad      1.31283
K1410_1_m1_a       0.036   0.0266036    -0.02183 pm    0.0147315     160.639 %         3.9256
K1410_1_m1_b        0.67    0.660168    -2.63582 pm     0.641036     2.97737 rad      4.64462
 K1430_0_0_a        0.89    0.507049    -1.10491 pm    0.0166933     224.147 %        119.504
 K1430_0_0_b       -2.17   -0.615283     1.03861 pm     0.022075     3.07458 rad      139.279
 K1430_2_0_a        4.66     3.26992     4.30519 pm    0.0726001     7.61385 %        4.88712
 K1430_2_0_b       -0.32   -0.283474   -0.280933 pm    0.0231532   0.0390666 rad      1.68731
K1430_2_p1_a        4.65     5.86935      4.2757 pm    0.0745257     8.04956 %        5.02249
K1430_2_p1_b       -3.05    -4.56461    -3.04521 pm    0.0356087  0.00478804 rad     0.134463
K1430_2_m1_a        1.26     1.39944    -1.02344 pm     0.106453     181.225 %        21.4501
K1430_2_m1_b       -1.92    -2.10798     1.22294 pm     0.100478     3.14025 rad       31.253
 K1780_3_0_a        16.8       17.35     21.0777 pm      1.87105     25.4627 %        2.28628
 K1780_3_0_b       -1.43    -1.30019    -1.32126 pm    0.0842527    0.108737 rad       1.2906
K1780_3_p1_a        19.1     11.1226      20.549 pm       2.1556     7.58629 %       0.672195
K1780_3_p1_b        2.03     2.69772     1.98153 pm     0.110142   0.0484668 rad     0.440038
K1780_3_m1_a        10.2     10.4623    -12.0081 pm      2.37829     217.727 %        9.33787
K1780_3_m1_b        1.55     1.16848     -1.4111 pm     0.253397      2.9611 rad      11.6856
-------------------------------

